year,award_no,date,location,pressented_by,category,honorary_reason,film,song,winner,speech
1957,30,1958-03-26,RKO Pantages Theatre,"Eva Marie Saint, Gregory Peck",Art Direction,NA,Sayonara,NA,Art Direction: Ted Haworth; Set Decoration: Robert Priestley,"TED HAWORTH:
 I'd like to thank the motion picture industry for this wonderful moment in my life.

 ROBERT PRIESTLEY:
 Thank you all very much.
"
1957,30,1958-03-26,RKO Pantages Theatre,Joan Collins,Cinematography,NA,The Bridge on the River Kwai,NA,Jack Hildyard,"HARRY STRADLING:
 I accept this award for Jack Hildyard, who is in London at the time. He wishes to thank each and every one that contributed to this award for him. Thank you.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Robert Ryan, Wendell Corey",Costume Design,NA,Les Girls,NA,Orry-Kelly,"ORRY-KELLY:
 My thanks to everyone, but a special thanks to Mr. George Cukor.
"
1957,30,1958-03-26,RKO Pantages Theatre,Sophia Loren,Directing,NA,The Bridge on the River Kwai,NA,David Lean,"DAVID LEAN:
 When we were sweating away in the jungles of Ceylon I never dreamt that bridge of ours would carry me here to Hollywood for the first time, let alone for this moment on this stage. I'm very, very deeply honored, and thank you very much.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Cyd Charisse, Ernest Borgnine",Documentary (Feature),NA,Albert Schweitzer,NA,"Jerome Hill, Producer","JEROME HILL:
 Thank you so much. Thank you. I'm terribly happy and terribly proud, and I think Dr. Schweitzer will be when he hears of it. I know he doesn't have a television set there in the jungle and he's not watching. And I want to thank you also in the name of Mrs. Anderson, without whose help I'm sure I couldn't have made the picture.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Joanne Woodward, Paul Newman",Film Editing,NA,The Bridge on the River Kwai,NA,Peter Taylor,"WILLIAM LYON:
 In accepting this award for Peter Taylor, who is in London and cannot be here, I join with him in thanking the members of the Academy. And to Mr. Sam Spiegel, the producer of the picture ""The Bridge on the River Kwai."" Thank you kindly.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Dana Wynter, Fred Astaire",Foreign Language Film,NA,The Nights of Cabiria,NA,Italy,"GIULIETTA MASINA:
 For Mr. Dino De Laurentiis, for the director Federico Fellini, for myself, thank you. Thank you very much.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Anita Ekberg, Vincent Price",Music (Scoring),NA,The Bridge on the River Kwai,NA,Malcolm Arnold,"MORRIS STOLOFF:
 On behalf of Malcolm Arnold I would like to express his thanks for Columbia Pictures, Sam Spiegel. Thank you very much.
"
1957,30,1958-03-26,RKO Pantages Theatre,Maurice Chevalier,Music (Song),NA,The Joker Is Wild,"""All The Way""",Music by James Van Heusen; Lyrics by Sammy Cahn,"SAMMY CAHN:
 Ladies and gentlemen, ever so many people make such an honor possible. I'm sure they'll understand if I think the really important man tonight is Jimmy Van Heusen, the Yul Brynner of ASCAP.

 JAMES VAN HEUSEN:
 He said it all. I'm deeply grateful. Thank you.
"
1957,30,1958-03-26,RKO Pantages Theatre,Gary Cooper,Best Motion Picture,NA,The Bridge on the River Kwai,NA,"Sam Spiegel, Producer","SAM SPIEGEL:
 The soundstages of Hollywood have been extended in recent years to the farthest corners of the world. No land is inviolate to the glare of our cameras. Yet it is fitting and proper that people the world over are waiting for a decision which only you in this community are able to render. The awards which you have so generously given to the pictures tonight makes me very, very proud and very grateful for having been given the distinction of producing the Best Picture of the Year. Thank you very much.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Jennifer Jones, Rock Hudson",Short Subject (Cartoon),NA,Birds Anonymous,NA,"Edward Selzer, Producer","JOHN BURTON:
 Uh, there's just a little slip. I'm accepting this Oscar in the name of Edward Selzer for the best cartoon of the year called ""Birds Anonymous."" And I want to pay my tribute to Friz Freleng, the director of the picture; Warren Foster, the story man; and about a hundred wonderful, talented people at Warner Bros. Cartoons. Thank you.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Jennifer Jones, Rock Hudson",Short Subject (Live Action),NA,The Wetback Hound,NA,"Larry Lansburgh, Producer","LARRY LANSBURGH:
 Thank you. Thank you very much.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Dorothy Malone, Van Johnson",Sound Recording,NA,Sayonara,NA,"Warner Bros. Studio Sound Department, George Groves, Sound Director","GEORGE GROVES:
 On behalf of the Warner Bros. Sound Department may I say thanks very, very much. Thank you.
"
1957,30,1958-03-26,RKO Pantages Theatre,June Allyson,Special Effects,NA,The Enemy Below,NA,Audible Effects by Walter Rossi,"WALTER ROSSI:
 Thank you all, and a special salute to the sound editors of 20th Century-Fox.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Doris Day, Clark Gable",Writing (Screenplay--based on material from another medium),NA,The Bridge on the River Kwai,NA,"Michael Wilson, Carl Foreman, Pierre Boulle","KIM NOVAK:
 My boss, the late Mr. Harry Cohn, was very, very proud of this film, ""Bridge on the River Kwai,"" as all of us at Columbia are. And I'm very honored and very happy to accept this award for Pierre Boulle. Thank you.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Doris Day, Clark Gable",Writing (Story and Screenplay--written directly for the screen),NA,Designing Woman,NA,George Wells,"GEORGE WELLS:
 The suggestion for the screenplay ""Designing Woman"" came from one of our industry's most wonderful designing women: Helen Rose.
"
1957,30,1958-03-26,RKO Pantages Theatre,"March 26, 1958; RKO Pantages Theatre",Jean Hersholt Humanitarian Award,,NA,NA,Samuel Goldwyn,NA
1957,30,1958-03-26,RKO Pantages Theatre,"March 26, 1958; RKO Pantages Theatre",Honorary Award,for outstanding service to the .,NA,NA,Charles Brackett Academy,NA
1957,30,1958-03-26,RKO Pantages Theatre,"March 26, 1958; RKO Pantages Theatre",Honorary Award,. for distinguished service to the motion picture industry.,NA,NA,B.B Kahane,NA
1957,30,1958-03-26,RKO Pantages Theatre,"March 26, 1958; RKO Pantages Theatre",Honorary Award,"M. ("" "") , motion picture pioneer, for his contributions to the development of motion pictures as entertainment.",NA,NA,Gilbert Broncho Billy Anderson,NA
1957,30,1958-03-26,RKO Pantages Theatre,"March 26, 1958; RKO Pantages Theatre",Honorary Award,of and for their contributions to the advancement of the motion picture industry.,NA,NA,The Society Motion Picture Television Engineers,NA
1957,30,1958-03-26,RKO Pantages Theatre,"Hope Lange, Ronald Reagan",Scientific or Technical Award (Class I),the - . and . for developing a method of producing and exhibiting wide-film motion pictures known as the - .,NA,NA,TODD AO CORP WESTREX CORP Todd AO System,"GEORGE J. SCHAEFER:
 Thank you very much. It's regretful indeed that the man who conceived the system and whose name bears the system itself can't be here with us tonight. Thank you very much again.

 RALPH WIGHT:
 Westrex throughout the world joins with the Hollywood division in thanking the Academy for this award. I'd like to give special recognition to Skippy Sanford, local manager for the Todd-AO Corporation; to Fred Hynes, Sound Director for Todd-AO; and to Dr. John G. Frayne, engineering manager of Westrex Corporation. Thank you.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Hope Lange, Ronald Reagan",Scientific or Technical Award (Class I),for the design and development of a high efficiency projection screen for drive-in theatres.,NA,NA,THE MOTION PICTURE RESEARCH COUNCIL,"WILLIAM F. KELLEY:
 I'd like to express my appreciation for the engineer who was responsible for this award, Pete Vlahos, and also to thank those in studio management who make all of our work possible. Men like Morrie Weiner, a terrific help, a real guy. Another man, who was a co-founder of the Research Council, who has been our chairman for over ten years, a man without whom we could not exist, Frank Freeman. Thank you all.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Hope Lange, Ronald Reagan",Scientific or Technical Award (Class II),the SOCIÉTÉ D' for the development of a high speed vari-focal photographic lens.,NA,NA,OPTIQUE ET DE MECANIQUE DE HAUTE PRECISION,"BENJAMIN BERG:
 Thank you very much.
"
1957,30,1958-03-26,RKO Pantages Theatre,"Hope Lange, Ronald Reagan",Scientific or Technical Award (Class II),"L. , , M. and the . for the development of an .",NA,NA,HARLAN BAUMBACH LORAND WARGO HOWARD LITTLE UNICORN ENGINEERING CORP Automatic Printer Light Selector,NA
1957,30,1958-03-26,RKO Pantages Theatre,"Hope Lange, Ronald Reagan",Scientific or Technical Award (Class III),"E. , B. , . and . for the engineering and application to studio use of aluminum lightweight electrical cable and connectors.",NA,NA,CHARLES SUTTER WILLIAM SMITH PARAMOUNT PICTURES CORP GENERAL CABLE CORP,NA
1958,31,1959-04-06,RKO Pantages Theatre,"Irene Dunne, John Wayne",Actor,NA,Separate Tables,NA,David Niven,"DAVID NIVEN:
 I'm so loaded down with good luck charms I could hardly make it up the steps. People have been saying thank you for Oscars for thirty years, and I have nothing to add except thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Bette Davis, Anthony Quinn",Actor in a Supporting Role,NA,The Big Country,NA,Burl Ives,"BURL IVES:
 I'd like to thank the members of the Academy. Especially want to thank Willy Wyler, Gregory Peck, and Sy Bartlett and Jim Webb for the nice words they wrote, and all of the rest of the company and the crew of ""The Big Country."" Thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Kim Novak, James Cagney",Actress,NA,I Want to Live!,NA,Susan Hayward,"SUSAN HAYWARD:
 Thank you very much, ladies and gentlemen. And thank you, ladies and gentlemen of the Academy, for making me so very, very happy tonight. And my special thanks to Mr. Walter Wanger who made this possible. I thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Shelley Winters, Red Buttons",Actress in a Supporting Role,NA,Separate Tables,NA,Wendy Hiller,"HAROLD HECHT:
 It's a great honor to be able to accept this great award for Wendy Hiller, a great actress. Thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Eddie Albert, Vincent Price",Art Direction,NA,Gigi,NA,"Art Direction: William A. Horning, Preston Ames; Set Decoration: Henry Grace, Keogh Gleason",NA
1958,31,1959-04-06,RKO Pantages Theatre,"Doris Day, Rock Hudson",Cinematography (Black-and-White),NA,The Defiant Ones,NA,Sam Leavitt,"JON HALL:
 Thank you very much. On behalf of Sam Leavitt who is unfortunately not here, but he is working, he's in Minnesota. He told me to come here and get this for him if he got it. This is the closest I'll ever come to an Oscar. I want to thank you. I want to thank Mr. Kramer on behalf of Mr. Leavitt, and his very fine crew, and United Artists. Thank you very much.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Doris Day, Rock Hudson",Cinematography (Color),NA,Gigi,NA,Joseph Ruttenberg,"JOSEPH RUTTENBERG:
 Thank you very much.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Wendell Corey, Ernie Kovacs",Costume Design,NA,Gigi,NA,Cecil Beaton,"ARTHUR FREED:
 A big British hello from Cecil Beaton. Thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Gary Cooper, Millie Perkins",Directing,NA,Gigi,NA,Vincente Minnelli,"VINCENTE MINNELLI:
 Ever since ""Gigi"" was written years ago by Colette it's been produced through the years in many mediums, many versions and many languages, and it has a history of bringing wonderful things to the lives of people connected with these productions. I know personally of a great many of them and I'm sure there're a great many more. And it's brought wonderful things to us connected to this movie. And to me tonight it's brought the proudest moment of my life, and I want to give my deepest gratitude to you and to ""Gigi"" for this great honor.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Natalie Wood, Robert Wagner",Documentary (Feature),NA,White Wilderness,NA,"Ben Sharpsteen, Producer","JAMES ALGAR:
 [He comes up on stage carrying an Oscar.] Tonight I have two pockets for Walt. Thank you again.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Natalie Wood, Robert Wagner",Documentary (Short Subject),NA,Ama Girls,NA,"Ben Sharpsteen, Producer",NA
1958,31,1959-04-06,RKO Pantages Theatre,"Louis Jourdan, Jean Simmons",Film Editing,NA,Gigi,NA,Adrienne Fazan,"ADRIENNE FAZAN:
 Thank you very much, everybody.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Cyd Charisse, Robert Stack",Foreign Language Film,NA,My Uncle,NA,France,"JACQUES TATI:
 Well, I want to say a few words with my very bad English. I find that the people who speak the worst English want to talk more than the others. But for my first visit in Hollywood I feel I'm doing fine. And I want to tell you something who may for myself is very important. Hollywood, it's a town at the beginning of comedy, slapstick, pantomime. I'm, I will remember all the names from Mack Sennett to Chaplin to everyone. I'm still making pantomime in my little corner myself. Tonight, I know that if in Hollywood they have not done so many funny pictures, I would not be here tonight. So for all those great comedians tonight, I'm not the uncle. I'm the nephew. And I respect very much Hollywood.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Eva Marie Saint, Anthony Franciosa",Music (Music Score of a Dramatic or Comedy Picture),NA,The Old Man and the Sea,NA,Dimitri Tiomkin,"DIMITRI TIOMKIN:
 Distinguished audience and my dear friends from Motion Picture Academy, I think I can very easily to repeat my last speech what I make when I have honor to get Oscar few years ago. But a few composer, naturally, add to my collection of gentlemen whom I really very much oblige. But tonight, really, I don't like to speak about like I spoke before. Maybe it will sound not serious, but I really like to express my deep appreciation to the most important factor who make me to win this award. I like to thank great fish from ""Old Man and the Sea."" Thank you very much.
"
1958,31,1959-04-06,RKO Pantages Theatre,"June Allyson, Dick Powell",Music (Scoring of a Musical Picture),NA,Gigi,NA,Andre Previn,"ANDRE PREVIN:
 I'm very, very thrilled by this and I want to thank all of you very, very much.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Sophia Loren, Dean Martin",Music (Song),NA,Gigi,"""Gigi""",Music by Frederick Loewe; Lyrics by Alan Jay Lerner,"ALAN JAY LERNER:
 This is a very great honor. Thank you very much.

 FREDERICK LOEWE:
 And I want to thank you from the bottom of my somewhat damaged heart.
"
1958,31,1959-04-06,RKO Pantages Theatre,Ingrid Bergman,Best Motion Picture,NA,Gigi,NA,"Arthur Freed, Producer","ARTHUR FREED:
 For this honor I'm deeply grateful. And I'm doubly honored tonight in receiving this presentation from Miss Bergman. Thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Tony Curtis, Janet Leigh",Short Subject (Cartoon),NA,Knighty Knight Bugs,NA,"John W. Burton, Producer","JOHN W. BURTON:
 This is a terrific thrill for us at Warner Bros. Cartoons because it means Bugs Bunny has finally made the grade. He's tried for eighteen years, rabbit's feet and all; finally made it. Thank you. I want to pay the lion's share of credit to Friz Freleng, who directed the picture. To his immediate team: Hawley Pratt, Warren Foster, Artie Davis, Gerry Chiniquy, Virgil Ross and Tom O'Loughlin. And I want to give my appreciation, gratitude, to Mel Blanc, who's the voice of Bugs Bunny as well as many other characters, and a marvelous trooper and wonderful man. And also to Milt Franklyn, our musical director and our agent. And about seventy-five other people that are very talented and capable at Warner Bros. Cartoons that I don't know what we'd do without.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Tony Curtis, Janet Leigh",Short Subject (Live Action),NA,Grand Canyon,NA,"Walt Disney, Producer","JAMES ALGAR:
 On behalf of Walt and the Disney gang, thank you very much.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Jane Wyman, Charlton Heston",Sound,NA,South Pacific,NA,"Todd-AO Sound Department, Fred Hynes, Sound Director","FRED HYNES:
 In behalf of the Todd-AO Sound Department I accept this with thanks.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Shirley MacLaine, Peter Ustinov",Special Effects,NA,tom thumb,NA,Visual Effects by Tom Howard,NA
1958,31,1959-04-06,RKO Pantages Theatre,"Elizabeth Taylor, Dirk Bogarde, Van Heflin",Writing (Screenplay--based on material from another medium),NA,Gigi,NA,Alan Jay Lerner,"ALAN JAY LERNER:
 Just thank you very much.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Elizabeth Taylor, Van Heflin",Writing (Story and Screenplay--written directly for the screen),NA,The Defiant Ones,NA,"Nedrick Young, Harold Jacob Smith","NEDRICK YOUNG:
 Thank you very much.

 HAROLD JACOB SMITH:
 Very gratifying and very exciting. Thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,Rosalind Russell,Honorary Award,for his contributions to the world of entertainment for more than half a century.,NA,NA,Maurice Chevalier,"MAURICE CHEVALIER:
 Miss Russell, I don't know how to thank you. In fact I know how to thank you because in my country we have a special way of thanking an attractive lady. We say, can I kiss you, Auntie Mame? [They kiss.]
"
1958,31,1959-04-06,RKO Pantages Theatre,Buddy Adler,Irving G. Thalberg Memorial Award,L.,NA,NA,Jack Warner,"JACK L. WARNER:
 Irving Thalberg, whose memory this award honors, was a warm, personal friend of mine throughout his entire career. I am most grateful to the Academy Board of Governors for this honor. It is one that I will always remember and cherish. I thank you very much.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Barbara Rush, Jacques Tati",Scientific or Technical Award (Class II),"W. , G. and the . for the development and production of an improved 10 kilowatt lamp for motion picture set lighting.",NA,NA,DON PRIDEAUX LEROY LEIGHTON LAMP DIVISION OF GENERAL ELECTRIC CO,NA
1958,31,1959-04-06,RKO Pantages Theatre,"Barbara Rush, Jacques Tati",Scientific or Technical Award (Class II),", ., for the design and development of the anamorphic photographic lens for 35mm photography.",NA,NA,PANAVISION INC Auto Panatar CinemaScope,"ROBERT E. GOTTSCHALK:
 We at Panavision are proud and grateful to the Academy for this award. Thank you.
"
1958,31,1959-04-06,RKO Pantages Theatre,"Barbara Rush, Jacques Tati",Scientific or Technical Award (Class III),"of the , ., for the development of a high speed intermittent movement for 35mm motion picture theatre projection equipment.",NA,NA,WILLY BORBERG General Precision Laboratory Inc,NA
1958,31,1959-04-06,RKO Pantages Theatre,"Barbara Rush, Jacques Tati",Scientific or Technical Award (Class III),", and of the . for the design and fabrication of a new rapid fire marble gun.",NA,NA,FRED PONEDEL GEORGE BROWN CONRAD BOYE Warner Bros Special Effects Department,NA
1959,32,1960-04-04,RKO Pantages Theatre,Susan Hayward,Actor,NA,Ben-Hur,NA,Charlton Heston,"CHARLTON HESTON:
 It's really true; when you stand here you'll want to thank everybody you ever knew in this business. I feel like starting with the first secretary or whoever let me sneak into a Broadway casting call. Ten years ago this month I made my first picture in Hollywood and since that time I've worked with a great many of you. And every one of you did something to put me here tonight. As for ""Ben-Hur,"" the men who worked on that, most of you you've been applauding, most of them have been applauded earlier this evening, including Willy. But I would like especially to thank, not only all of you and all of them, but Willy, and Christopher Fry, and Sam Zimbalist, who gave more than any of us. Thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,Olivia de Havilland,Actor in a Supporting Role,NA,Ben-Hur,NA,Hugh Griffith,"WILLIAM WYLER:
 I am extremely happy to accept this highly deserved award for Mr. Hugh Griffith for his wonderfully humorous, human and sympathetic characterization of an Arab sheik. My only regret is that the people of the United Arab Republic will not be permitted to see his performance.
"
1959,32,1960-04-04,RKO Pantages Theatre,Rock Hudson,Actress,NA,Room at the Top,NA,Simone Signoret,"SIMONE SIGNORET:
 I can't say anything. Oh, I thank you. I thank you so much. I wanted to be very dignified and all that, well I can't. You can't imagine what it is for me, being French. You can't imagine. And I want to thank Jimmy Woolf, and Jack Clayton, and Laurence Harvey because, it looks a little corny to say that, but you know that without them I wouldn't have never been here tonight. Thank you so, so much.
"
1959,32,1960-04-04,RKO Pantages Theatre,Edmond O'Brien,Actress in a Supporting Role,NA,The Diary of Anne Frank,NA,Shelley Winters,"SHELLEY WINTERS:
 You know, it takes a lot of people to put this in your hand. First, someone has to write a dimensional role in a very fine motion picture. And next, somebody has to get you the part. Then you have to have a great director. And then you have to be nominated and voted. So I would like to thank the memory of that wonderful little girl, Miss Anne Frank, who wrote with such depth and perception about human beings. I'd like to thank my wonderful friend and creative agent, Mr. Herb Brenner. And Mr. George Stevens. And last but not least, I thank you, the Academy.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Angie Dickinson, Richard Conte",Art Direction (Black-and-White),NA,The Diary of Anne Frank,NA,"Art Direction: Lyle R. Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Stuart A. Reiss","[Presenter Angie Dickinson reads the names of the art director winners.]

 LYLE R. WHEELER:
 Thank you.

 GEORGE W. DAVIS:
 Thank you so much.

 LYLE R. WHEELER:
 Thank you.

 [Presenter Angie Dickinson reads the names of the set decorator winners.]

 WALTER M. SCOTT:
 Thank you.

 STUART A. REISS:
 Thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Angie Dickinson, Richard Conte",Art Direction (Color),NA,Ben-Hur,NA,"Art Direction: William A. Horning, Edward Carfagno; Set Decoration: Hugh Hunt","[Presenter Richard Conte reads the names of the art director winners.]

 EDWARD CARFAGNO:
 Thank you for Mr. Horning and myself. And also would like to thank Eddie, Ivo and Paul for their great help.

 [Presenter Richard Conte reads the name of the set decorator winner.]

 HUGH HUNT:
 Thank you, ladies and gentlemen.
"
1959,32,1960-04-04,RKO Pantages Theatre,Edward Curtis,Cinematography (Black-and-White),NA,The Diary of Anne Frank,NA,William C. Mellor,"WILLIAM C. MELLOR:
 Thank you very much.
"
1959,32,1960-04-04,RKO Pantages Theatre,Edward Curtis,Cinematography (Color),NA,Ben-Hur,NA,Robert L. Surtees,"ROBERT L. SURTEES:
 Thank you all very, very much.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Arlene Dahl, Fernando Lamas",Costume Design (Black-and-White),NA,Some Like It Hot,NA,Orry-Kelly,"ORRY-KELLY:
 I thank you, and particularly Tony Curtis and Jack Lemmon. As Louella would say [mimicking Louella Parsons]: They never looked lovelier.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Arlene Dahl, Fernando Lamas",Costume Design (Color),NA,Ben-Hur,NA,Elizabeth Haffenden,"ANNA MARIA ALBERGHETTI:
 On behalf of Miss Haffenden I would like to say thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,John Wayne,Directing,NA,Ben-Hur,NA,William Wyler,"WILLIAM WYLER:
 My deepest appreciation to Sam Zimbalist and Joe Vogel for their confidence, and to my fellow members of the Academy for this [raising the Oscar]. Thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,Mitzi Gaynor,Documentary (Feature),NA,Serengeti Shall Not Die,NA,"Bernhard Grzimek, Producer","BERNHARD GRZIMEK:
 I thank the American film Academy for the great honor to award me this famous Oscar prize, and to the people who have focused public interest in our work in this country, particularly Mr. Wolkiser. I thank you not in my name, I am only co-producer of this film, but in the name of my late friend and son, Michael, who has been killed just when finishing our research work in Africa on this film. He should stand this evening on my place. Thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,Mitzi Gaynor,Documentary (Short Subject),NA,Glass,NA,"Bert Haanstra, Producer","ANN BLYTH:
 Gee, I guess this is the closest I'll ever get to one. I would like to say on behalf of Mr. Haanstra how happy I'm sure he is, and thank you all. Good night.
"
1959,32,1960-04-04,RKO Pantages Theatre,Barbara Rush,Film Editing,NA,Ben-Hur,NA,"Ralph E. Winters, John D. Dunning","RALPH E. WINTERS:
 My humble thanks to everybody.

 JOHN D. DUNNING:
 Thank you for this very, very wonderful honor.
"
1959,32,1960-04-04,RKO Pantages Theatre,Eric Johnston,Foreign Language Film,NA,Black Orpheus,NA,France,"SACHA GORDINE:
 Je suis très ému. J'en remercie l'Académie pour cette distinction, cet honneur. Au nom de tous les camarades qui ont travaillé dans ce film, je dis merci et pour cette formidable réception à Hollywood.
"
1959,32,1960-04-04,RKO Pantages Theatre,Gene Kelly,Music (Music Score of a Dramatic or Comedy Picture),NA,Ben-Hur,NA,Miklos Rozsa,"MIKLOS ROZSA:
 I would like to thank to all the musicians who played my music for ""Ben-Hur,"" and most of them are here in this orchestra. Without their splendid cooperation this award wouldn't have been possible. Thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,Gene Kelly,Music (Scoring of a Musical Picture),NA,Porgy and Bess,NA,"Andre Previn, Ken Darby","ANDRE PREVIN:
 There are a great, great many people to thank that made the scoring job on ""Porgy"" possible: Mr. Gershwin, Mr. Goldwyn, Mr. Preminger, the remarkable singers and that wonderful orchestra. And most of all, thank all of you so very, very much.

 KEN DARBY:
 That goes for me. Thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,Doris Day,Music (Song),NA,A Hole in the Head,"""High Hopes""",Music by James Van Heusen; Lyrics by Sammy Cahn,"SAMMY CAHN:
 Thank...

 JAMES VAN HEUSEN:
 You.
"
1959,32,1960-04-04,RKO Pantages Theatre,Gary Cooper,Best Motion Picture,NA,Ben-Hur,NA,"Sam Zimbalist, Producer","MRS. SAM ZIMBALIST:
 I believe my husband would have said to you that ""Ben-Hur"" is the sum of the work and talent of many people and that he would accept this award with gratitude for all of them. For himself, I think those of you whose whole lives have been spent as my husband's was, in making films, will know in your own thoughts what this moment would have meant to him. As a symbol of Sam Zimbalist I'm very proud to thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Hope Lange, Carl Reiner",Short Subject (Cartoon),NA,Moonbird,NA,"John Hubley, Producer","JOHN HUBLEY:
 I want to thank everyone, the Academy, very much. And I must share this with five people: Bob Cannon, Ed Smith, Faith Elliott, and Marky and Hampy. Thank you very much.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Hope Lange, Carl Reiner",Short Subject (Live Action),NA,The Golden Fish,NA,"Jacques-Yves Cousteau, Producer","JO MORROW:
 On behalf of the director – excuse me, my first time. On behalf of the director Edmond Séchan [French pronunciation], Edmond Séchan [American pronunciation] for Americans, and the producer Jacques-Yves Cousteau, this thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Natalie Wood, Robert Wagner",Sound,NA,Ben-Hur,NA,"Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director","FRANKLIN E. MILTON:
 This is an award given to an entire sound department. And they all deserve it; they all worked on it. There's one man I want to thank especially, that's re-recording mixer William Steinkamp, for his very excellent work.
"
1959,32,1960-04-04,RKO Pantages Theatre,Haya Harareet,Special Effects,NA,Ben-Hur,NA,"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory","MILO LORY(?):
 May I speak for the special effects men? It was a great honor to work on ""Ben-Hur"" and this is the proudest moment of our lives. Thank you.

 ROBERT MacDONALD(?):
 Ladies and gentlemen, this is really a very thrilling experience, one which comes very seldom to most people. And I'm very grateful to all those that are responsible for this great honor. Thank you.

 A. ARNOLD GILLESPIE:
 I think everything has been said, I simply want to point out that effects is never a one-man job, and there are many, many, too numerous to mention, whose names should be mentioned and who should receive the credit. My gratitude and my thanks to them and to you.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Janet Leigh, Tony Curtis",Writing (Screenplay--based on material from another medium),NA,Room at the Top,NA,Neil Paterson,"JACK CLAYTON:
 On behalf of Neil, I can only say to all of you thank you very much indeed.
"
1959,32,1960-04-04,RKO Pantages Theatre,"Janet Leigh, Tony Curtis",Writing (Story and Screenplay--written directly for the screen),NA,Pillow Talk,NA,"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin","RUSSELL ROUSE:
 You dream about this, but when you get up here you still don't believe it. It's a wonderful honor. Thank you.

 CLARENCE GREENE:
 Thank you very much.

 TONY CURTIS:
 [Richlin hands him a note.] We have a note from Mr. Stanley Shapiro: ""I am trapped downstairs in the gentlemen's lounge. It seems I have rented a faulty tuxedo. I would like to thank you all upstairs for the high honor you paid me.""

 MAURICE RICHLIN:
 Thank you.
"
1959,32,1960-04-04,RKO Pantages Theatre,B.B. Kahane (Academy President),Jean Hersholt Humanitarian Award,,NA,NA,Bob Hope,"BOB HOPE:
 Thank you very much. Thank you, ladies and gentlemen. I said to myself this afternoon, there must be a way. And they just pushed me in the wings; they said, ""You better watch it here because I don't know how short this'll be, and you have to bounce right on."" I'll get you later for this.

 Ladies and gentlemen of the Academy, this, this just – I don't know what to say. I don't have writers for this type of work. All I want to say is... I've never had need for 'em, you know? But I really, really appreciate this and this'll hold the highest spot in my trophy room. Thank you very, very much.
"
1959,32,1960-04-04,"Governors Ball, Beverly Hilton Hotel","April 4, 1960; Governors Ball, Beverly Hilton Hotel",Honorary Award,for his pioneering inventions which brought sound to the motion picture.,NA,NA,Lee De Forest,NA
1959,32,1960-04-04,"Governors Ball, Beverly Hilton Hotel","April 4, 1960; Governors Ball, Beverly Hilton Hotel",Honorary Award,for his unique talents which brought immortal comedies to the screen.,NA,NA,Buster Keaton,NA
